productId,name,deliveryMonth
NGFC6,(NA),00000000
KCFE5,(NA),01155000
OEFI5,(NA),00000000
QTFE5,(NA),00568000
MQFI5,(NA),00000000
FSFE5/F5,(NA),00000000
NYFE5/F5,(NA),00000000
CCFF5,(NA),00000047
RWFE5,(NA),00001145
CCFE5,(NA),00000047
MX4E5,(NA),00021553
JBFE5/F5,(NA),00000006
IYFE5,(NA),00000191
DXFE5/F5,(NA),00000000
IOFE5,(NA),05140000
EXFE5,(NA),00001171
GRFE5,(NA),00000096
CSFE5,(NA),00000024
PNFF5,(NA),00001935
TXFE5/F5,(NA),00000094
KPFF5,(NA),00000030
CXFE5,(NA),00000041
OVFF5,(NA),00000158
ZEFE5,(NA),00001171
PUFE5,(NA),00001335
GMFF5,(NA),00811000
CGFE5,(NA),00000029
SDFE5,(NA),00000151
HSFF5,(NA),00000042
DHFE5,(NA),00000154
PUFF5,(NA),00001335
EHFE5/F5,(NA),00000000
QCFF5,(NA),00000060
CUFE5,(NA),00000008
DAFE5/F5,(NA),00000000
CEFE5,(NA),00000080
CDFF5,(NA),00000979
CDFE5/F5,(NA),00000001
KLFE5,(NA),00000031
QNFE5/F5,(NA),00000001
QSFE5,(NA),00000103
DXFE5,(NA),00000110
CDFE5,(NA),00000980
PSFE5,(NA),00000061
RLFE5,(NA),00000016
GRFF5,(NA),00000096
CZFF5,(NA),00000256
PWFE5,(NA),00002290
FQFI5,(NA),20250917
MKFE5,(NA),00000125
ITFC6,(NA),20260318
OKFI5,(NA),20250917
PMFI5,(NA),20250917
NBFC6,(NA),20260318
FFFF5,(NA),20250618
LXFI5,(NA),20250917
HAFE5,(NA),00000015
GZFI5,(NA),20250917
GLFI5,(NA),20250917
GIFE5,(NA),00000137
CYFE5,(NA),00000044
UVFF5,(NA),20250618
TGFB6,(NA),20260225
CRFE5,(NA),20250521
RPFE5,(NA),20250521
CZFE5,(NA),00000254
GXFF5,(NA),20250618
FGFE5,(NA),20250521
PVFE5,(NA),00002305
IYFI5,(NA),20250917
CKFE5,(NA),00000061
SSFC6,(NA),20260318
XBFL5,(NA),20251217
IMFF5,(NA),00000139
XIFG5,(NA),20250716
LMFI5,(NA),20250917
KEFL5,(NA),20251217
NWFL5,(NA),00000000
XJFF5,(NA),20250618
UUFL5,(NA),20251217
M1FG5,(NA),20250716
FTFE5,(NA),00000063
DHFL5,(NA),20251217
EMFF5,(NA),20250618
XBFC6,(NA),20260318
ORFF5,(NA),00000062
PBFF5,(NA),20250618
JMFC6,(NA),20260318
OKFE5/F5,(NA),00000000
DHFF5,(NA),00000157
KDFL5,(NA),20251217
CDFI5,(NA),20250917
MVFE5,(NA),20250521
NLFE5,(NA),00000088
TGFL5,(NA),20251230
KLFC6,(NA),20260318
ORFC6,(NA),20260318
IXFC6,(NA),20260318
DYFE5,(NA),00000045
HSFL5,(NA),20251217
JBFE5,(NA),00001140
OTFE5/F5,(NA),00000000
GYFI5,(NA),20250917
TMFE5,(NA),00021538
NVFC6,(NA),20260318
OKFE5,(NA),00000010
NEFL5,(NA),20251217
DOFC6,(NA),20260318
OLFL5,(NA),20251217
XAFF5,(NA),20250618
JFFE5,(NA),20250521
KIFI5,(NA),20250917
HQFE5,(NA),00000024
PCFL5,(NA),20251217
IIFE5,(NA),20250521
NVFI5,(NA),20250917
SKFC6,(NA),20260318
TXFE5,(NA),00021544
REFI5,(NA),20250917
DAFF5,(NA),00000083
LBFL5,(NA),20251217
LOFF5,(NA),20250618
BRFG5,(NA),20250603
BRFF6,(NA),20260504
SNFL5,(NA),00000017
QEFI5,(NA),20250917
UCFE5,(NA),20250521
QHFF5,(NA),20250618
RZFE5,(NA),00000025
RQFF5,(NA),20250618
GOFE5/F5,(NA),00000001
XIFL5,(NA),20251217
OLFE5/F5,(NA),00000005
QXFC6,(NA),20260318
SCFE5,(NA),00000271
CXFL5,(NA),20251217
QYFF5,(NA),20250618
